okay namn ung product,
sakto lng para sa pipten pesos 😵😵,
pwede na,
okay dumating naman,
Ok nman,
ok sya talaga,
Okay naman sya😶,
Ok sana ,
What you see is what you get 👀👀,
Di ako sure 👀 pede na,
k lang ,
Ok naman,
Ok naman,
Ok,
Okay naman siya,
Okay naman 👀,
Ok lng,
I recieved the exact products I ordered!!,
Sakto lang ✌,
No bubble wrap or anything, which is okay lang😶
�pede na siguro to 😶😶,
Okay naman siya,
Ayus lang,
sakto lang,
Okay naman lqhat ng products,
Ok sya,
Ok naman yung mga payong,
it is ok 😶,
the product is okay,
Ok lang yung quality.,
Okay naman sya 😶,
okay lang,
Okay namn ung ibang item,
Complete items ,
Okie na din ,
Sakto Yong naediliver na orders ko,
pede na rin 😶,
Okay naman ung quality ,
Ung blue OK nmn 😶,
All colors in the item were correct ,
kumpleto din,
Kumpleto naman ang order ,
Ok naman lahat,
nice nmn,
Okay Naman Yung parcel,
k lng,
Sakto naman ✌,
Ok naman po yung payong ,
Ok naman po ung item n dumating ✌✌,
Ok nmn 😶,
Tama nmn Po Yong kulay na pinadala 😶😶,
Ok nman,
Recieve order.. Okie na po,
sakto lang 👀,
Okay naman yung payong,
oks na rin,
oki,
Kompleto naman ang items,
pede na 👀👀👀,
sa gantong presyo pede na,
OK n po,
okay naman siya,
goods na to 👀,
pede na sa ganung price ✌,
okey na,
ok na,
Ok naman ,
Ok nman yung item,
okay lang,
oks naman ,
okay lng ung product,
complete na ung item ,
okay nadin ,
dumating naman sya samin,
complete naman yung item,
dumating sya okay lang tama lang,
K Langs,
Okay lang naman,
wag na mag expect as is sya ,
pede na 10 lang naman eh,
k langs,
sakto lang ,
oks narin to,
pede na sakto na to ,
sa ganung presyo okay na wag nlng mag expect,
sakto narin,
okay na ,
k langs naman,
pepede na to kesa wala okay anrin,
k langs naman,
okay narin,
okay lang,
okay lang sya kumpleto naman dumating pero simple lang,
sakto naman yung item na dumating sakin,
okay narin di sya ganun kaganda pero okay na simple lng na style,
goods narin to ,
k lang naman,
okay narin saka dumating naman kung ano inorder ko,
complete at tama naman ung kulay na inorder ko,
k langs naman,
Okay lang naman sakto lng,
wag na mag expect as is sya simple lang ,
pede an rin sakto lang,
simple lang plaa sya pero okay nadin ,
pepede an rin anman to atleast dumating,
k langs,
pede naman sya ,
k langs ,
pede na,
okay lang ,
sakto lang ,
what u see is what u get don’t expect too much from this product,
okay lang ,
simple lang sya ,
okay narin naman,
k narin ,
oks na din to ,
tama naman yung quantity ng order na dumating,
pede na ,
dumating naman,
goods lang sakto lang sya,
pede na din to pagtyagaan ,
okay lang,
pede na rin to ,
k lang naman,
dumating at sakto nmn ung bilang ng binili ko,
okay lang ,
okay naman yung shorts ,
okay lang naman ,
okay lang naman ung tela nya ,
k langs naman,
pede na rin goods na din yung kapal ng tela nya ,
sakto lang ung item ,
okay lang ,
okay na rin ,
okay na naman ,
okay na rin naman ,
pede na to ,
k langs naman ,
k langs ,
Tama lang ,
pede na din naman ,
Okayt lang,
kumpleto naman dumating wag lang mag expect masaydo ,
sakto lang sya ,
what u see is what u get don’t expect too much from this product,
okay langs  naman,
tama langs,
pede din naman oks na rin ,
okay langs  naman,
K naman ung product at tama naman ung color ,
okay na rin ,
sakto lang sa price nya pede na ,
okay naman yung short ,
tama lang kung ano binili ko un naman ung dumating ,
yung tela ng terno nya sakto lang ung quality,
dumating naman at tama naman ung pinadala,
hmm for me average lang sya okay lang ,
pede na for its price ,
kompleto namang dumating ,
k na din namna sya ,
di nako nag expect for its price okay na rin naman sya ,
okay lang naman,
pwede na rin ,
okay naman,
sakto lang quality nya ,
oks na din ,
normal quality lang ,
kumpleto naman ,
k naman,
tama lang base sa price  nya kunga no un lang sya,
average quality,
oks na din ,
pepede na sya for its price ,
Okay lang ,
pede na din ,
ok lang ,
okay ;ang naman sya ,
oks na din naman to ,
sakto lang quality nya ,
average lang yung quality nya ,
okay naman ,
average quality,
okay quality,
oks na rin ,
tama lang base sa price  nya kunga no un lang sya,
sakto lang pede na ,
okay na rin,
k na rin to ,
average lang yung style simple lang ,
okay na din naman,
pede na yung tela at style nya ,
pede na din ,
pepede na sya for its price ,
k lang din anman yung quality ,
okay quality,
k naman ,
oks na rin naman,
k langs sya ,
okay naman ,
okay lang naman yung terno sakto sakin okay  na rin,
sakto lang for its price ,
pede na ,
sakto na rin naman ,
oks lang ,
average lang yung quality para sakin,
kumpleto namang dumating ung item ,
tama naman ugn kulay na dumating ,
goods na din pede na ,
k lang din anman yung quality ,
sakto lang yung itsura nya,
average quality,
pwede na ,
ooks na din ,
pede na ,
