Text,Polarity,With Emoji
super ganda at worth it pagkakabili ko,2,0
Gcute nya at super mura pa,2,0
Maganda. Sana mag tagal ,2,0
Sobrang ganda ndi kuna napicturan lahat Ng order ko Tama Salamat ,2,0
Nice buy thank u,2,0
"Thank you seller and sa kuyang nag deliver, nagustuhan po ng mama ko ",2,0
Love it po,2,0
Thank you seller rcved already ,2,0
All goods at maganda talaga,2,0
Super ganda sya and kasyang kasya i like it thank seller dahil ilang araw lang dumating agad Super ganda sya and kasyang kasya i like it thank seller dahil ilang araw lang dumating agad Super ganda sya and kasyang kasya i like it thank seller dahil ilang araw lang dumating agad Super ganda sya ,2,0
Maganda naman siyaaaaa and ang bilis magship ng item. :))))))))))))))))))))))))))))))))))))))))))))))))))))))),2,0
"maganda highly recommend
okay nmn  worth it din nmn
survived.
maganda tsaka wort it 
Dear seller I just wanted to tell you how satisfied and greatful I am to your product",2,0
"The items were both well-packed. I ordered last 10.10 and I received them today, 10.17. Not too long naman yung waiting time. Thank you po kay seller tsaka kay kuyang nagdeliver. Will order again soon.",2,0
"THANK YOU PO SELLER!! THANK YOU PO SELLER!! THANK YOU PO SELLER!! THANK YOU PO SELLER!! 
THANK YOU PO SELLER!! THANK YOU PO SELLER!! THANK YOU PO SELLER!! THANK YOU PO SELLER!! THANK YOU PO SELLER!! THANK YOU PO SELLER!!",2,0
Thankyou Thankyou thThankyou Thankyou thankyou Thankyou Thankyou thankyouThankyou Thankyou thankyouThankyou Thankyou thankyouThankyou Thankyou thankyouThankyou Thankyou thankyouThankyou Thankyou thankyouThankyou Thankyou thankyouThankyou Thankyou thankyouThankyou Thankyou thankyouThankyou Thankyou t,2,0
Ang ganda mga mareeee,2,0
"- Order is complete and without damage""",2,0
Kailangan na kailangan to ngayon so I got one for the whole family para di na ilalapag ang facemask kung saan saan nakasabit na lang sa leeg. Thank you so much po.,2,0
"Excellent quality, very useful especially nowadays pandemic we need face mask to cover our mouth from viruses and bacteria and this will be a useful tool/item for everyone.",2,0
I recieved the items in a good condition....Very nice and affordable...very fast shipping...I like it....I use also to my eyeglass.......................................,2,0
"Thank you so much seller and sa rider. Good quality yung item. Godbless!""",2,0
Thank you seller well packaged excellent quality item shipped immediately Thank you seller well packaged excellent quality item shipped immediately,2,0
"Thank you! Thank you! Thank you! Thank you!""",2,0
"I ordered 3 designs! Ang gaganda lahat super, i haven't tried to use it yet but will surely do when I go out, worth it on a very cheap price",2,0
Ang ganda good qualityyy kddmfn brnfjn dngnnctmvkdjdjvjfjfkkffkxnsmnekfosoelgkckfkfjckfkfkcfkjffjj jfkjdfjvjfjfjfjdjtnndncntnfncncnfbnddn,2,0
Oks yung item. Kaya lang Tagal iship ng seller yung order kaya matagal dumating. Oks yung item. Kaya lang Tagal iship ng seller yung order kaya matagal dumating.,1,0
Maganda yung item... nagustuhan ng asawa ko at anak... mabilis dumating at maayos ...kumpleto at sobrang ganda... more pa at oorder uli... kudos seller,2,0
Ang cute and complete orders! Thank you!Ang cute and complete orders! Thank you!Ang cute and complete orders! Thank you!Ang cute and complete orders! Thank you!,2,0
Inorder ko nung 10/10 then after 2 days dumating na. Kumpleto yung order ko. Mura ko lang sila nabili lahat. Thank you seller.,2,0
Ang ganda nitoooooo perfect for ladies. And maganda din siyang gift. Sulit for its price. Great packaging. Thank you so much.,2,0
maikli lng pla xa hehe ! prang pang kids yung haba ng lace . pro cute pa rin . thankyou seller thankyou shopee . maikli lng pla xa hehe ! prang pang kids yung haba ng lace . pro cute pa rin . thankyou seller thankyou shopee .,2,0
NICE NICE NICE NICE NICE NICE NICE NICE NICE NICE NICE NICE NICE NICE NICE NICE NICE NICE NICE NICE NICE NICE NICE NICE,2,0
"Maganda po sya nagustuhan ko, sakto lang para sakin bilis din na ship.. order ako ulit kapag nasira",2,0
Complete order. No damage. Excellent quality. Item shipped immediately. Thank you seller. God bless your business. .,2,0
Complete items.. fst shipped.. will order againnnnnnnnnnnnnnnnnnnn againnnnnnnnnnnnnnnnnnnn againnnnnnnnnnnnnnnnnnnn,2,0
Ang ganda. Complete rin ung order ko. Mabilis rin naman dumating. Mukha namang matibay and magtatagal. Thanks seller and kay kuya rider,2,0
